gain_threshold,loss_threshold,period_months,cagr,total_return,max_dd,mar_ratio,switches,avg_switch_freq,pct_momentum,end_nav,cagr_score,mar_score,simple_score,total_score
5,-5,1,19.247963792799073,3757.9595465720345,-56.77818564805824,0.33900279787220244,32,7.78125,85.54216867469879,4227.808278167873,0.5562554344631061,0.6268773791010793,0.0,0.4661909309618768
5,-10,1,19.369046060095464,3840.063820921464,-56.90379183809877,0.34038234420658264,12,20.75,94.77911646586345,4317.783594543577,0.5685620295614496,0.635428355842036,0.625,0.5999095215333357
5,-15,1,18.686343371322756,3397.965793158311,-58.63490830427091,0.3186897346944714,10,24.9,95.98393574297188,3833.30321599748,0.4991732928712951,0.500968936273458,0.6875,0.537377327317685
5,-20,1,18.408463605264537,3231.900163739452,-62.09432572179631,0.2964596747171507,4,62.25,98.79518072289156,3651.317470864395,0.47093006747372373,0.36317818501061827,0.875,0.5194184892400474
5,-25,1,18.318973554101035,3180.0363973427593,-62.68435871776323,0.29224154045481016,2,124.5,99.19678714859438,3594.481711374969,0.46183445133116,0.3370325115608665,0.9375,0.5195269791338399
5,-30,1,17.949615583293156,2973.993841659594,-62.86232112383513,0.2855385429999229,0,999.0,100.0,3368.6865955743983,0.42429353725204394,0.2954846679669178,1.0,0.5007921690160972
10,-5,1,18.874219663474268,3514.67571106834,-58.94495784618927,0.32020074919257013,19,13.105263157894736,47.791164658634536,3961.201694747146,0.5182687187145115,0.5103348049699201,0.40625,0.4934848008482318
10,-10,1,20.564123284431936,4744.795134337843,-59.06426721587247,0.3481652148374694,11,22.636363636363637,85.54216867469879,5309.248250977874,0.6900276400059582,0.6836696827797705,0.65625,0.6813647248369102
10,-15,1,19.46929860331814,3909.2996417311197,-60.70860030455641,0.3207008316061752,10,24.9,90.76305220883533,4393.656804936594,0.5787515270375796,0.5134345146213684,0.6875,0.5809061179052003
10,-20,1,19.76222622303101,4118.296501794974,-63.99459211294406,0.30881087870913615,4,62.25,96.78714859437751,4622.689443672833,0.608524190611045,0.43973585866478443,0.875,0.6111828529049579
10,-25,1,19.67171303313031,4052.635247372656,-64.55504589964337,0.3047277367552609,2,124.5,97.18875502008032,4550.733480513959,0.5993245843925661,0.41442692122101327,0.9375,0.611490368562587
10,-30,1,17.949615583293156,2973.993841659594,-62.86232112383513,0.2855385429999229,0,999.0,100.0,3368.6865955743983,0.42429353725204394,0.2954846679669178,1.0,0.5007921690160972
15,-5,1,15.534416739189316,1901.0643565152634,-57.46330614141324,0.27033628557605416,5,49.8,6.425702811244979,2192.89921252261,0.17881684673371784,0.2012550314538805,0.84375,0.3185349328030231
15,-10,1,15.776880996094045,1990.0337346275157,-57.46330614141323,0.27455574792839504,3,83.0,6.827309236947792,2290.39776551305,0.2034605001949063,0.227408936933554,0.90625,0.3512029311775194
15,-15,1,15.776880996094045,1990.0337346275157,-57.46330614141323,0.27455574792839504,3,83.0,6.827309236947792,2290.39776551305,0.2034605001949063,0.227408936933554,0.90625,0.3512029311775194
15,-20,1,15.993434456168787,2072.6672060805067,-60.333356515873795,0.2650844471409591,1,249.0,15.261044176706829,2380.9530112188077,0.22547062446654356,0.16870204850101914,0.96875,0.3570959267835775
15,-25,1,15.366090894842067,1841.4319597192894,-64.55504589964337,0.23803082595170078,1,249.0,16.867469879518072,2127.5500719270262,0.1617084950549568,0.001012946813878234,0.96875,0.27490813157164184
15,-30,1,17.949615583293156,2973.993841659594,-62.86232112383513,0.2855385429999229,0,999.0,100.0,3368.6865955743983,0.42429353725204394,0.2954846679669178,1.0,0.5007921690160972
20,-5,1,13.775071521418724,1355.3842864173844,-57.46330614141322,0.2397194391760061,3,83.0,3.614457831325301,1594.9067531042795,0.0,0.011479643035425736,0.90625,0.18469389291062774
20,-10,1,14.747050486899127,1636.3479916967574,-57.46330614141324,0.2566342154175336,3,83.0,6.425702811244979,1902.805440144769,0.09879028398926204,0.11632415214339499,0.90625,0.26554238763764954
20,-15,1,14.747050486899127,1636.3479916967574,-57.46330614141324,0.2566342154175336,3,83.0,6.425702811244979,1902.805440144769,0.09879028398926204,0.11632415214339499,0.90625,0.26554238763764954
20,-20,1,15.993434456168787,2072.6672060805067,-60.333356515873795,0.2650844471409591,1,249.0,15.261044176706829,2380.9530112188077,0.22547062446654356,0.16870204850101914,0.96875,0.3570959267835775
20,-25,1,15.366090894842067,1841.4319597192894,-64.55504589964337,0.23803082595170078,1,249.0,16.867469879518072,2127.5500719270262,0.1617084950549568,0.001012946813878234,0.96875,0.27490813157164184
20,-30,1,17.949615583293156,2973.993841659594,-62.86232112383513,0.2855385429999229,0,999.0,100.0,3368.6865955743983,0.42429353725204394,0.2954846679669178,1.0,0.5007921690160972
25,-5,1,13.775071521418724,1355.3842864173844,-57.46330614141322,0.2397194391760061,3,83.0,3.614457831325301,1594.9067531042795,0.0,0.011479643035425736,0.90625,0.18469389291062774
25,-10,1,14.747050486899127,1636.3479916967574,-57.46330614141324,0.2566342154175336,3,83.0,6.425702811244979,1902.805440144769,0.09879028398926204,0.11632415214339499,0.90625,0.26554238763764954
25,-15,1,14.747050486899127,1636.3479916967574,-57.46330614141324,0.2566342154175336,3,83.0,6.425702811244979,1902.805440144769,0.09879028398926204,0.11632415214339499,0.90625,0.26554238763764954
25,-20,1,15.993434456168787,2072.6672060805067,-60.333356515873795,0.2650844471409591,1,249.0,15.261044176706829,2380.9530112188077,0.22547062446654356,0.16870204850101914,0.96875,0.3570959267835775
25,-25,1,15.366090894842067,1841.4319597192894,-64.55504589964337,0.23803082595170078,1,249.0,16.867469879518072,2127.5500719270262,0.1617084950549568,0.001012946813878234,0.96875,0.27490813157164184
25,-30,1,17.949615583293156,2973.993841659594,-62.86232112383513,0.2855385429999229,0,999.0,100.0,3368.6865955743983,0.42429353725204394,0.2954846679669178,1.0,0.5007921690160972
30,-5,1,14.080155141760486,1438.5430039725306,-58.02425761943164,0.24265980676752696,1,249.0,2.4096385542168677,1686.0375983703643,0.031008178740924104,0.02970521057046199,0.96875,0.21816565254160064
30,-10,1,15.054740432666325,1735.560600742027,-58.02425761943163,0.2594559766952481,1,249.0,5.220883534136546,2011.5292058444184,0.13006336520039546,0.13381455058304564,0.96875,0.29892604777511145
30,-15,1,15.054740432666325,1735.560600742027,-58.02425761943163,0.2594559766952481,1,249.0,5.220883534136546,2011.5292058444184,0.13006336520039546,0.13381455058304564,0.96875,0.29892604777511145
30,-20,1,15.993434456168787,2072.6672060805067,-60.333356515873795,0.2650844471409591,1,249.0,15.261044176706829,2380.9530112188077,0.22547062446654356,0.16870204850101914,0.96875,0.3570959267835775
30,-25,1,15.366090894842067,1841.4319597192894,-64.55504589964337,0.23803082595170078,1,249.0,16.867469879518072,2127.5500719270262,0.1617084950549568,0.001012946813878234,0.96875,0.27490813157164184
30,-30,1,17.949615583293156,2973.993841659594,-62.86232112383513,0.2855385429999229,0,999.0,100.0,3368.6865955743983,0.42429353725204394,0.2954846679669178,1.0,0.5007921690160972
5,-5,3,19.116939713168502,3670.94927113794,-53.567269570615,0.35687724736403853,32,7.78125,75.1004016064257,4132.456639996137,0.5429383705184782,0.7376703246173073,0.0,0.49277028264443123
5,-10,3,19.763106233746754,4118.939714800755,-56.997311510213954,0.34673751638628064,16,15.5625,87.14859437751004,4623.3943192003335,0.6086136333990162,0.6748202400717082,0.5,0.6067528887210205
5,-15,3,19.265685741461127,3769.8739898127355,-56.99731151021393,0.33801042945698784,10,24.9,91.96787148594377,4240.864916309027,0.558056663093915,0.620726285059883,0.6875,0.6027462170649225
5,-20,3,18.63301389197627,3365.4963857691987,-58.57739513265695,0.3180922239676094,4,62.25,94.77911646586345,3797.7210830876443,0.4937529755632605,0.49726532719521344,0.875,0.5710560859401943
5,-25,3,18.54361166209113,3311.706875373924,-58.57739513265695,0.31656599990655865,2,124.5,95.98393574297188,3738.774965435943,0.4846662854256186,0.4878051835796698,0.9375,0.5761746977867103
5,-30,3,18.54361166209113,3311.706875373924,-58.57739513265695,0.31656599990655865,2,124.5,95.98393574297188,3738.774965435943,0.4846662854256186,0.4878051835796698,0.9375,0.5761746977867103
10,-5,3,17.62921996543263,2805.298465214261,-55.89500964553352,0.315398817841359,23,10.826086956521738,63.85542168674698,3183.818999008243,0.39172907320347017,0.4805705250232623,0.28125,0.3962856941087138
10,-10,3,19.710850760248032,4080.9067671330013,-59.1530986112793,0.3332175528077843,16,15.5625,80.72289156626506,4581.715289378539,0.6033024762132425,0.5910181297567648,0.5,0.5789566770336507
10,-15,3,19.374337042980017,3843.6892222961583,-59.1530986112793,0.3275286924578068,10,24.9,89.95983935742971,4321.756550132816,0.5690997960361479,0.555756311198808,0.6875,0.5887767913777164
10,-20,3,18.760711145312836,3443.728018338652,-60.653970351593664,0.30930722319680604,4,62.25,93.57429718875501,3883.452501418769,0.506731906558473,0.44281239916494397,0.875,0.5612096730287197
10,-25,3,18.67121268235712,3388.724239987241,-60.653970351593664,0.307831665002727,2,124.5,94.77911646586345,3823.1757083012176,0.4976354354556979,0.4336663027395806,0.9375,0.5664176085497231
10,-30,3,18.67121268235712,3388.724239987241,-60.653970351593664,0.307831665002727,2,124.5,94.77911646586345,3823.1757083012176,0.4976354354556979,0.4336663027395806,0.9375,0.5664176085497231
15,-5,3,17.931958794618108,2964.4594188425426,-55.89500964553352,0.3208150228139557,19,13.105263157894736,51.40562248995983,3358.2381418706,0.4224989313711603,0.5141423171339904,0.40625,0.4467421608257773
15,-10,3,21.215418511726327,5317.834128175578,-59.1530986112793,0.3586526996859802,15,16.6,65.86345381526104,5937.222435936045,0.7562241758882576,0.7486752840965564,0.53125,0.7089646731730956
15,-15,3,21.677576217243978,5762.986777576132,-59.1530986112793,0.3664656074856999,9,27.666666666666668,86.34538152610442,6425.050271729782,0.8031970966997163,0.7971027933506466,0.71875,0.7844793863550521
15,-20,3,21.05211086361951,5168.374190689546,-60.653970351593664,0.34708545444900746,3,83.0,89.95983935742971,5773.434310806697,0.739625865115023,0.676976898537991,0.90625,0.7541560021189089
15,-25,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
15,-30,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
20,-5,3,16.748681143030097,2385.871367816197,-55.89500964553352,0.2996453753071041,13,19.153846153846153,31.72690763052209,2724.182931532348,0.30223260937236035,0.38292442402373766,0.59375,0.3847436318933015
20,-10,3,19.833874609499368,4170.97210088039,-59.15309861127929,0.3352973060606068,11,22.636363636363637,44.57831325301205,4680.4148633363575,0.6158064103894154,0.6039092674073204,0.65625,0.6203259854169039
20,-15,3,23.613882852156998,8035.708933133901,-59.1530986112793,0.39919942330213465,9,27.666666666666668,75.50200803212851,8915.650141233431,1.0,1.0,0.71875,0.9437500000000001
20,-20,3,21.05211086361951,5168.374190689546,-60.653970351593664,0.34708545444900746,3,83.0,89.95983935742971,5773.434310806697,0.739625865115023,0.676976898537991,0.90625,0.7541560021189089
20,-25,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
20,-30,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
25,-5,3,14.491041636261869,1557.7107800466667,-57.463306141413206,0.2521790444949412,7,35.57142857142857,18.473895582329316,1816.6295613225816,0.0727699811263096,0.08870923121854589,0.78125,0.21924775992871856
25,-10,3,14.091784779561767,1441.800778945232,-59.1530986112793,0.23822564008294822,7,35.57142857142857,19.67871485943775,1689.6076845342363,0.03219019528848693,0.002220482264911155,0.78125,0.1730112423237168
25,-15,3,22.485340392053654,6625.821763002073,-59.15309861127929,0.3801210912012335,7,35.57142857142857,65.06024096385542,7370.602149617657,0.885296869493008,0.8817449113629447,0.78125,0.8634219081553874
25,-20,3,21.05211086361951,5168.374190689546,-60.653970351593664,0.34708545444900746,3,83.0,89.95983935742971,5773.434310806697,0.739625865115023,0.676976898537991,0.90625,0.7541560021189089
25,-25,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
25,-30,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
30,-5,3,14.493254805372867,1558.3758278454334,-57.463306141413206,0.2522175589706929,5,49.8,14.859437751004014,1817.358364866284,0.07299492385938997,0.08894795925408587,0.84375,0.23193184970592076
30,-10,3,14.070594076085573,1435.8696002657791,-59.1530986112793,0.23786740519798563,5,49.8,15.261044176706829,1683.1079050478068,0.03003640833558644,0.0,0.84375,0.18376820416779324
30,-15,3,22.98509793556862,7218.7884594785755,-59.15309861127929,0.3885696349841905,5,49.8,59.83935742971887,8020.414434525817,0.9360913736983719,0.9341123451943556,0.84375,0.9170293904074927
30,-20,3,21.05211086361951,5168.374190689546,-60.653970351593664,0.34708545444900746,3,83.0,89.95983935742971,5773.434310806697,0.739625865115023,0.676976898537991,0.90625,0.7541560021189089
30,-25,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
30,-30,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
